# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e-01
# Aref        : 1.000000e-01
# CofR        : (2.000000e-01 2.000000e-01 5.000000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.01          	3.241832e+03	1.620916e+03	1.620916e+03	9.518818e+01	1.539420e+05	-1.538469e+05	1.538945e+05	7.367339e-12	6.070128e-12	-3.326422e-15	6.068465e-12	-6.071792e-12
0.02          	-2.646811e+01	-1.323405e+01	-1.323405e+01	-5.780808e+01	-2.589081e+02	2.011000e+02	-2.300040e+02	-4.125894e-14	-3.854935e-14	3.453490e-17	-3.853208e-14	3.856661e-14
0.03          	-6.118702e+00	-3.059351e+00	-3.059351e+00	-6.455253e+00	-1.808148e+02	1.743595e+02	-1.775872e+02	-2.510645e-14	-2.142212e-14	1.982253e-17	-2.141221e-14	2.143203e-14
0.04          	-2.362829e+00	-1.181414e+00	-1.181414e+00	-3.950941e+00	-4.435824e+01	4.040730e+01	-4.238277e+01	-1.901435e-14	-1.626384e-14	1.628911e-17	-1.625570e-14	1.627199e-14
0.05          	4.645494e-02	2.322747e-02	2.322747e-02	-2.958632e+00	5.392394e+01	-5.688257e+01	5.540326e+01	-1.540999e-14	-1.313810e-14	1.428593e-17	-1.313096e-14	1.314524e-14
0.06          	1.977474e+00	9.887368e-01	9.887368e-01	-2.509028e+00	1.387482e+02	-1.412572e+02	1.400027e+02	-1.295772e-14	-1.099642e-14	1.296480e-17	-1.098994e-14	1.100291e-14
0.07          	3.495366e+00	1.747683e+00	1.747683e+00	-2.280870e+00	2.076188e+02	-2.098997e+02	2.087592e+02	-1.114327e-14	-9.417153e-15	1.199224e-17	-9.411157e-15	9.423149e-15
0.08          	4.695071e+00	2.347535e+00	2.347535e+00	-2.117648e+00	2.623536e+02	-2.644713e+02	2.634125e+02	-9.768031e-15	-8.216147e-15	1.125907e-17	-8.210517e-15	8.221776e-15
0.09          	5.685422e+00	2.842711e+00	2.842711e+00	-1.991641e+00	3.076914e+02	-3.096830e+02	3.086872e+02	-8.691931e-15	-7.276227e-15	1.068778e-17	-7.270884e-15	7.281571e-15
0.1           	6.509524e+00	3.254762e+00	3.254762e+00	-1.870639e+00	3.451373e+02	-3.470079e+02	3.460726e+02	-7.831940e-15	-6.525595e-15	1.022821e-17	-6.520481e-15	6.530710e-15
0.11          	7.206164e+00	3.603082e+00	3.603082e+00	-1.758012e+00	3.766118e+02	-3.783698e+02	3.774908e+02	-7.131738e-15	-5.912457e-15	9.848610e-18	-5.907533e-15	5.917382e-15
0.12          	7.683249e+00	3.841624e+00	3.841624e+00	-1.676203e+00	3.980873e+02	-3.997635e+02	3.989254e+02	-6.554869e-15	-5.417761e-15	9.531603e-18	-5.412995e-15	5.422527e-15
