# Force       
# CofR        : (2.000000e-01 2.000000e-01 5.000000e-01)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           1.620916e+02 4.759409e+00 1.663211e-16 1.619914e+02 4.753022e+00 1.745674e-16 1.001517e-01 6.386731e-03 -8.246345e-18
0.02           -1.323405e+00 -2.890404e+00 -1.726745e-18 -1.422111e+00 -2.894928e+00 -1.776687e-18 9.870505e-02 4.523604e-03 4.994216e-20
0.03           -3.059351e-01 -3.227627e-01 -9.911265e-19 -4.038217e-01 -3.270157e-01 -1.019420e-18 9.788661e-02 4.253077e-03 2.829319e-20
0.04           -1.181414e-01 -1.975471e-01 -8.144554e-19 -2.152776e-01 -2.016434e-01 -8.361781e-19 9.713619e-02 4.096355e-03 2.172268e-20
0.05           2.322747e-03 -1.479316e-01 -7.142967e-19 -9.410162e-02 -1.519216e-01 -7.322263e-19 9.642437e-02 3.989965e-03 1.792957e-20
0.06           9.887368e-02 -1.254514e-01 -6.482402e-19 3.127816e-03 -1.293598e-01 -6.636640e-19 9.574586e-02 3.908387e-03 1.542386e-20
0.07           1.747683e-01 -1.140435e-01 -5.996118e-19 7.967366e-02 -1.178817e-01 -6.132481e-19 9.509463e-02 3.838141e-03 1.363629e-20
0.08           2.347535e-01 -1.058824e-01 -5.629534e-19 1.402888e-01 -1.096530e-01 -5.752837e-19 9.446477e-02 3.770611e-03 1.233030e-20
0.09           2.842711e-01 -9.958204e-02 -5.343888e-19 1.904185e-01 -1.032827e-01 -5.457283e-19 9.385256e-02 3.700624e-03 1.133954e-20
0.1            3.254762e-01 -9.353193e-02 -5.114104e-19 2.322214e-01 -9.715827e-02 -5.219772e-19 9.325486e-02 3.626334e-03 1.056671e-20
0.11           3.603082e-01 -8.790062e-02 -4.924305e-19 2.676389e-01 -9.144669e-02 -5.023660e-19 9.266932e-02 3.546068e-03 9.935454e-21
0.12           3.841624e-01 -8.381014e-02 -4.765802e-19 2.920725e-01 -8.727059e-02 -4.860045e-19 9.208995e-02 3.460454e-03 9.424307e-21
0.13           4.015050e-01 -7.946733e-02 -4.632095e-19 3.099922e-01 -8.283852e-02 -4.722014e-19 9.151280e-02 3.371184e-03 8.991971e-21
0.14           4.151242e-01 -7.394580e-02 -4.518223e-19 3.241884e-01 -7.722539e-02 -4.604364e-19 9.093574e-02 3.279591e-03 8.614044e-21
0.15           4.243546e-01 -6.932592e-02 -4.416258e-19 3.339983e-01 -7.251265e-02 -4.499009e-19 9.035628e-02 3.186721e-03 8.275044e-21
0.16           4.301181e-01 -6.543254e-02 -4.323879e-19 3.403454e-01 -6.852598e-02 -4.403576e-19 8.977265e-02 3.093435e-03 7.969669e-21
0.17           4.327877e-01 -5.922414e-02 -4.247661e-19 3.436042e-01 -6.222539e-02 -4.324771e-19 8.918346e-02 3.001248e-03 7.711059e-21
0.18           4.304554e-01 -5.588643e-02 -4.175123e-19 3.418690e-01 -5.879699e-02 -4.249903e-19 8.858638e-02 2.910561e-03 7.477961e-21
0.19           4.265672e-01 -5.295809e-02 -4.108678e-19 3.385855e-01 -5.577928e-02 -4.181378e-19 8.798167e-02 2.821187e-03 7.270010e-21
0.2            4.228027e-01 -4.977773e-02 -4.048653e-19 3.354317e-01 -5.251029e-02 -4.119512e-19 8.737105e-02 2.732563e-03 7.085944e-21
0.21           4.189575e-01 -4.665668e-02 -3.994521e-19 3.322012e-01 -4.930100e-02 -4.063814e-19 8.675627e-02 2.644325e-03 6.929249e-21
0.22           4.155033e-01 -4.367713e-02 -3.946751e-19 3.293638e-01 -4.623310e-02 -4.014769e-19 8.613946e-02 2.555967e-03 6.801782e-21
0.23           4.131008e-01 -4.287457e-02 -3.912050e-19 3.275778e-01 -4.534034e-02 -3.979215e-19 8.552302e-02 2.465762e-03 6.716467e-21
0.24           4.116518e-01 -4.243519e-02 -3.883008e-19 3.267425e-01 -4.480841e-02 -3.949603e-19 8.490931e-02 2.373225e-03 6.659516e-21
0.25           4.110041e-01 -4.007246e-02 -3.850555e-19 3.267035e-01 -4.235195e-02 -3.916686e-19 8.430060e-02 2.279492e-03 6.613144e-21
0.26           4.112463e-01 -3.768801e-02 -3.821154e-19 3.275475e-01 -3.987275e-02 -3.887068e-19 8.369881e-02 2.184738e-03 6.591359e-21
0.27           4.102616e-01 -3.358245e-02 -3.795519e-19 3.271573e-01 -3.567270e-02 -3.861588e-19 8.310425e-02 2.090241e-03 6.606915e-21
0.28           4.095720e-01 -2.928961e-02 -3.771038e-19 3.270540e-01 -3.128620e-02 -3.837484e-19 8.251797e-02 1.996589e-03 6.644553e-21
0.29           4.107857e-01 -2.624984e-02 -3.745589e-19 3.288439e-01 -2.815349e-02 -3.812481e-19 8.194176e-02 1.903651e-03 6.689208e-21
0.3            4.121580e-01 -2.266174e-02 -3.722004e-19 3.307820e-01 -2.447392e-02 -3.789526e-19 8.137600e-02 1.812177e-03 6.752134e-21
0.31           4.132088e-01 -1.721169e-02 -3.704053e-19 3.323883e-01 -1.893530e-02 -3.772426e-19 8.082049e-02 1.723602e-03 6.837343e-21
0.32           4.146826e-01 -1.227083e-02 -3.683417e-19 3.344071e-01 -1.390951e-02 -3.752609e-19 8.027554e-02 1.638683e-03 6.919253e-21
0.33           4.170773e-01 -6.600368e-03 -3.661043e-19 3.373356e-01 -8.158907e-03 -3.730989e-19 7.974167e-02 1.558539e-03 6.994566e-21
0.34           4.155117e-01 -5.258971e-03 -3.642775e-19 3.362957e-01 -6.740157e-03 -3.713721e-19 7.921608e-02 1.481186e-03 7.094626e-21
0.35           4.129511e-01 -4.529078e-03 -3.625349e-19 3.342532e-01 -5.935633e-03 -3.697318e-19 7.869796e-02 1.406554e-03 7.196843e-21
0.36           4.069185e-01 -2.147002e-03 -3.619645e-19 3.287340e-01 -3.482379e-03 -3.692986e-19 7.818450e-02 1.335376e-03 7.334082e-21
0.37           4.077396e-01 1.519035e-03 -3.596483e-19 3.300594e-01 2.488023e-04 -3.670380e-19 7.768015e-02 1.270233e-03 7.389698e-21
0.38           4.080621e-01 3.529474e-03 -3.574127e-19 3.308779e-01 2.319413e-03 -3.648487e-19 7.718423e-02 1.210061e-03 7.436042e-21
0.39           4.072736e-01 2.189440e-03 -3.552166e-19 3.305780e-01 1.036686e-03 -3.626898e-19 7.669564e-02 1.152753e-03 7.473277e-21
0.4            4.077476e-01 5.066376e-03 -3.525377e-19 3.315325e-01 3.965389e-03 -3.600173e-19 7.621506e-02 1.100987e-03 7.479612e-21
0.41           4.085250e-01 8.647659e-03 -3.498648e-19 3.327828e-01 7.592543e-03 -3.573399e-19 7.574225e-02 1.055116e-03 7.475152e-21
0.42           4.096339e-01 9.458497e-03 -3.467661e-19 3.343568e-01 8.445095e-03 -3.542133e-19 7.527715e-02 1.013402e-03 7.447186e-21
0.43           4.098110e-01 8.068392e-03 -3.440926e-19 3.349925e-01 7.094096e-03 -3.515313e-19 7.481844e-02 9.742960e-04 7.438663e-21
0.44           4.099713e-01 8.814483e-03 -3.415120e-19 3.356056e-01 7.875568e-03 -3.489496e-19 7.436570e-02 9.389149e-04 7.437594e-21
0.45           4.096735e-01 8.713979e-03 -3.388132e-19 3.357552e-01 7.807534e-03 -3.462466e-19 7.391832e-02 9.064448e-04 7.433466e-21
0.46           4.093341e-01 8.950972e-03 -3.359731e-19 3.358580e-01 8.074279e-03 -3.434039e-19 7.347605e-02 8.766924e-04 7.430817e-21
