# Force       
# CofR        : (2.000000e-01 2.000000e-01 5.000000e-02)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           3.820731e-02 -1.658767e-04 -1.629837e-20 3.671087e-02 -1.682718e-04 8.163319e-22 1.496436e-03 2.395060e-06 -1.711471e-20
0.02           1.767192e-03 1.321481e-04 3.085969e-23 5.589889e-04 1.291910e-04 4.952284e-23 1.208203e-03 2.957151e-06 -1.866315e-23
0.03           2.247286e-03 -2.403326e-06 9.834895e-23 1.241616e-03 1.449678e-06 1.006848e-22 1.005670e-03 -3.853005e-06 -2.335870e-24
0.04           1.934245e-03 -6.308238e-06 8.340792e-23 1.061418e-03 8.080366e-09 7.545528e-23 8.728268e-04 -6.316318e-06 7.952640e-24
0.05           1.738245e-03 -1.138069e-05 8.093770e-23 9.576869e-04 -4.056867e-06 6.644539e-23 7.805582e-04 -7.323824e-06 1.449231e-23
0.06           1.597354e-03 -1.416001e-05 8.055894e-23 8.839459e-04 -6.472743e-06 6.124455e-23 7.134085e-04 -7.687264e-06 1.931438e-23
0.07           1.491817e-03 -1.556781e-05 8.118259e-23 8.291409e-04 -7.855536e-06 5.807620e-23 6.626758e-04 -7.712271e-06 2.310639e-23
0.08           1.410337e-03 -1.656098e-05 8.227432e-23 7.871870e-04 -8.996358e-06 5.600430e-23 6.231504e-04 -7.564618e-06 2.627002e-23
0.09           1.346288e-03 -1.689044e-05 8.356956e-23 7.547184e-04 -9.570221e-06 5.446734e-23 5.915701e-04 -7.320215e-06 2.910222e-23
0.1            1.294363e-03 -1.684005e-05 8.499969e-23 7.285829e-04 -9.816011e-06 5.334078e-23 5.657799e-04 -7.024044e-06 3.165892e-23
0.11           1.251865e-03 -1.692737e-05 8.656140e-23 7.075266e-04 -1.021191e-05 5.251820e-23 5.443388e-04 -6.715467e-06 3.404320e-23
0.12           1.216759e-03 -1.660176e-05 8.805167e-23 6.905089e-04 -1.020702e-05 5.184975e-23 5.262502e-04 -6.394748e-06 3.620192e-23
0.13           1.187190e-03 -1.628289e-05 8.956181e-23 6.764026e-04 -1.019559e-05 5.130839e-23 5.107878e-04 -6.087306e-06 3.825342e-23
0.14           1.162146e-03 -1.599963e-05 9.109330e-23 6.647180e-04 -1.019860e-05 5.088080e-23 4.974281e-04 -5.801026e-06 4.021250e-23
0.15           1.140693e-03 -1.562747e-05 9.261699e-23 6.549146e-04 -1.009524e-05 5.053497e-23 4.857785e-04 -5.532232e-06 4.208203e-23
0.16           1.122397e-03 -1.529091e-05 9.413975e-23 6.468499e-04 -1.000256e-05 5.024843e-23 4.755473e-04 -5.288354e-06 4.389132e-23
