# Moment      
# CofR        : (2.000000e-01 2.000000e-01 5.000000e-01)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           3.683670e-14 3.035064e-14 -7.694723e+02 3.687577e-14 3.033745e-14 -7.690034e+02 -3.907308e-17 1.319452e-17 -4.688419e-01
0.02           -2.062947e-16 -1.927467e-16 1.150020e+00 -2.070565e-16 -1.925614e-16 1.615261e+00 7.617787e-19 -1.853114e-19 -4.652405e-01
0.03           -1.255322e-16 -1.071106e-16 8.879358e-01 -1.261535e-16 -1.069456e-16 1.349716e+00 6.212222e-19 -1.650072e-19 -4.617801e-01
0.04           -9.507177e-17 -8.131922e-17 2.119138e-01 -9.561775e-17 -8.115023e-17 6.703745e-01 5.459756e-19 -1.689918e-19 -4.584607e-01
0.05           -7.704994e-17 -6.569049e-17 -2.770163e-01 -7.753224e-17 -6.551366e-17 1.782290e-01 4.822950e-19 -1.768320e-19 -4.552453e-01
0.06           -6.478859e-17 -5.498212e-17 -7.000135e-01 -6.521269e-17 -5.479733e-17 -2.478611e-01 4.241029e-19 -1.847916e-19 -4.521524e-01
0.07           -5.571633e-17 -4.708577e-17 -1.043796e+00 -5.608628e-17 -4.689422e-17 -5.946205e-01 3.699536e-19 -1.915405e-19 -4.491755e-01
0.08           -4.884016e-17 -4.108073e-17 -1.317062e+00 -4.915996e-17 -4.088434e-17 -8.707616e-01 3.198022e-19 -1.963969e-19 -4.463008e-01
0.09           -4.345966e-17 -3.638114e-17 -1.543436e+00 -4.373351e-17 -3.618206e-17 -1.099918e+00 2.738540e-19 -1.990777e-19 -4.435183e-01
0.1            -3.915970e-17 -3.262798e-17 -1.730363e+00 -3.939212e-17 -3.242842e-17 -1.289547e+00 2.324172e-19 -1.995577e-19 -4.408157e-01
0.11           -3.565869e-17 -2.956229e-17 -1.887454e+00 -3.585428e-17 -2.936422e-17 -1.449271e+00 1.955886e-19 -1.980672e-19 -4.381835e-01
0.12           -3.277434e-17 -2.708881e-17 -1.994627e+00 -3.293782e-17 -2.689378e-17 -1.559035e+00 1.634732e-19 -1.950260e-19 -4.355920e-01
0.13           -3.037736e-17 -2.505872e-17 -2.070090e+00 -3.051314e-17 -2.486781e-17 -1.637072e+00 1.357758e-19 -1.909165e-19 -4.330185e-01
0.14           -2.837603e-17 -2.336721e-17 -2.125560e+00 -2.848797e-17 -2.318099e-17 -1.695110e+00 1.119384e-19 -1.862232e-19 -4.304497e-01
