# Moment      
# CofR        : (2.000000e-01 2.000000e-01 5.000000e-02)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           1.658767e-04 3.820731e-02 5.216742e-07 1.682718e-04 3.671087e-02 -7.520422e-14 -2.395060e-06 1.496436e-03 5.216743e-07
0.02           -1.321481e-04 1.767192e-03 -9.047125e-07 -1.291910e-04 5.589889e-04 -3.488799e-15 -2.957151e-06 1.208203e-03 -9.047125e-07
0.03           2.403326e-06 2.247286e-03 -1.068681e-06 -1.449678e-06 1.241616e-03 -3.572766e-15 3.853005e-06 1.005670e-03 -1.068681e-06
0.04           6.308238e-06 1.934245e-03 -1.056705e-06 -8.080366e-09 1.061418e-03 -2.029950e-15 6.316318e-06 8.728268e-04 -1.056705e-06
0.05           1.138069e-05 1.738245e-03 -9.856006e-07 4.056867e-06 9.576869e-04 -1.405087e-15 7.323824e-06 7.805582e-04 -9.856006e-07
0.06           1.416001e-05 1.597354e-03 -9.004612e-07 6.472743e-06 8.839459e-04 -1.050650e-15 7.687264e-06 7.134085e-04 -9.004612e-07
0.07           1.556781e-05 1.491817e-03 -8.176166e-07 7.855536e-06 8.291409e-04 -8.231860e-16 7.712271e-06 6.626758e-04 -8.176166e-07
0.08           1.656098e-05 1.410337e-03 -7.424086e-07 8.996358e-06 7.871870e-04 -6.600856e-16 7.564618e-06 6.231504e-04 -7.424086e-07
0.09           1.689044e-05 1.346288e-03 -6.760884e-07 9.570221e-06 7.547184e-04 -5.260752e-16 7.320215e-06 5.915701e-04 -6.760884e-07
0.1            1.684005e-05 1.294363e-03 -6.183852e-07 9.816011e-06 7.285829e-04 -4.064017e-16 7.024044e-06 5.657799e-04 -6.183852e-07
0.11           1.692737e-05 1.251865e-03 -5.683810e-07 1.021191e-05 7.075266e-04 -2.898907e-16 6.715467e-06 5.443388e-04 -5.683810e-07
0.12           1.660176e-05 1.216759e-03 -5.251074e-07 1.020702e-05 6.905089e-04 -1.902385e-16 6.394748e-06 5.262502e-04 -5.251074e-07
0.13           1.628289e-05 1.187190e-03 -4.875747e-07 1.019559e-05 6.764026e-04 -9.643555e-17 6.087306e-06 5.107878e-04 -4.875747e-07
0.14           1.599963e-05 1.162146e-03 -4.549020e-07 1.019860e-05 6.647180e-04 -5.543831e-18 5.801026e-06 4.974281e-04 -4.549020e-07
0.15           1.562747e-05 1.140693e-03 -4.263233e-07 1.009524e-05 6.549146e-04 8.235363e-17 5.532232e-06 4.857785e-04 -4.263233e-07
0.16           1.529091e-05 1.122397e-03 -4.012057e-07 1.000256e-05 6.468499e-04 1.694981e-16 5.288354e-06 4.755473e-04 -4.012057e-07
0.17           1.501734e-05 1.106658e-03 -3.789987e-07 9.948954e-06 6.401526e-04 2.544589e-16 5.068389e-06 4.665059e-04 -3.789987e-07
0.18           1.474373e-05 1.093142e-03 -3.592750e-07 9.874220e-06 6.346646e-04 3.387971e-16 4.869506e-06 4.584771e-04 -3.592750e-07
0.19           1.442980e-05 1.081396e-03 -3.416597e-07 9.741975e-06 6.300825e-04 4.199793e-16 4.687829e-06 4.513133e-04 -3.416597e-07
0.2            1.419648e-05 1.071272e-03 -3.258185e-07 9.671107e-06 6.263722e-04 5.026327e-16 4.525376e-06 4.448999e-04 -3.258185e-07
0.21           1.398247e-05 1.062561e-03 -3.115474e-07 9.600721e-06 6.234181e-04 5.838640e-16 4.381753e-06 4.391427e-04 -3.115474e-07
